ticker,fecha,ret_1d,n_alcistas,sobre_sma200,golden_cross,momentum_pos,dias_rec,bucket
XLK,2018-02-08,-4.1428577088115865,2,True,True,False,5.0,Moderada(-3% a -5%)
XLK,2018-03-27,-3.207432236592489,2,True,True,False,20.0,Moderada(-3% a -5%)
XLK,2018-10-10,-4.846004014388161,2,True,True,False,156.0,Moderada(-3% a -5%)
XLK,2018-10-24,-4.479518817743056,1,False,True,False,14.0,Moderada(-3% a -5%)
XLK,2018-11-12,-3.5223224231122896,1,False,True,False,95.0,Moderada(-3% a -5%)
XLK,2018-11-19,-3.811725967487778,1,False,True,False,14.0,Moderada(-3% a -5%)
XLK,2018-12-04,-3.787458225870366,0,False,False,False,73.0,Moderada(-3% a -5%)
XLK,2018-12-07,-3.524492084485531,0,False,False,False,59.0,Moderada(-3% a -5%)
XLK,2018-12-21,-3.0382527110524693,0,False,False,False,5.0,Moderada(-3% a -5%)
XLK,2019-05-13,-3.76741216837323,2,True,True,False,25.0,Moderada(-3% a -5%)
XLK,2019-08-05,-4.174539966189272,2,True,True,False,3.0,Moderada(-3% a -5%)
XLK,2019-08-14,-3.0730700913085607,2,True,True,False,5.0,Moderada(-3% a -5%)
XLK,2019-08-23,-3.3078607890362988,2,True,True,False,12.0,Moderada(-3% a -5%)
XLK,2020-02-24,-4.1331504534091295,2,True,True,False,100.0,Moderada(-3% a -5%)
XLK,2020-02-25,-3.199408672771231,2,True,True,False,76.0,Moderada(-3% a -5%)
XLK,2020-03-03,-3.7976209374028014,2,True,True,False,1.0,Moderada(-3% a -5%)
XLK,2020-03-05,-3.155991165907135,2,True,True,False,63.0,Moderada(-3% a -5%)
XLK,2020-03-11,-4.723894006721396,1,False,True,False,34.0,Moderada(-3% a -5%)
XLK,2020-03-18,-3.7677299720355606,1,False,True,False,6.0,Moderada(-3% a -5%)
XLK,2020-03-20,-4.582529533952351,1,False,True,False,4.0,Moderada(-3% a -5%)
XLK,2020-03-27,-4.51950237978288,1,False,True,False,10.0,Moderada(-3% a -5%)
XLK,2020-04-01,-4.765452196346409,1,False,True,False,5.0,Moderada(-3% a -5%)
XLK,2020-04-21,-4.189917542612243,2,False,True,True,3.0,Moderada(-3% a -5%)
XLK,2020-09-08,-4.520817391247956,2,True,True,False,23.0,Moderada(-3% a -5%)
XLK,2020-09-23,-3.1168050672643943,2,True,True,False,5.0,Moderada(-3% a -5%)
XLK,2020-10-28,-4.242151224083878,2,True,True,False,7.0,Moderada(-3% a -5%)
XLK,2021-02-25,-3.4964118758283647,2,True,True,False,4.0,Moderada(-3% a -5%)
XLK,2022-01-05,-3.0749869540065644,2,True,True,False,525.0,Moderada(-3% a -5%)
XLK,2022-02-11,-3.054402244355925,1,False,True,False,45.0,Moderada(-3% a -5%)
XLK,2022-03-07,-3.6594268585237955,1,False,True,False,9.0,Moderada(-3% a -5%)
XLK,2022-04-26,-3.725130552780076,0,False,False,False,2.0,Moderada(-3% a -5%)
XLK,2022-04-29,-4.16752511906362,0,False,False,False,5.0,Moderada(-3% a -5%)
XLK,2022-05-05,-4.809561321055888,0,False,False,False,99.0,Moderada(-3% a -5%)
XLK,2022-05-09,-3.86995794918481,0,False,False,False,18.0,Moderada(-3% a -5%)
XLK,2022-05-11,-3.156196083366092,0,False,False,False,6.0,Moderada(-3% a -5%)
XLK,2022-05-18,-4.575630241602358,0,False,False,False,9.0,Moderada(-3% a -5%)
