ticker,fecha,tipo_activo,es_etf,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,spy_ret,idio_ret,es_sistematico,dist_low_52w,drop_norm_atr,mag_ord,ret_10d,target
NVDA,2020-02-21,ACCION,0,-4.739,-2.407,1.6656771798019783,65.9088767099158,1,3,-1.029843461727098,-3.7093613335511977,1,120.19604739540435,-17.645544053349536,2,-9.478,0
MSFT,2020-02-21,ACCION,0,-3.161,-2.805,1.3699112298786549,54.327096576719384,1,3,-1.029843461727098,-2.1314099676196463,1,63.921391605007614,-0.7344176864273859,2,-9.53,0
MSFT,2020-02-24,ACCION,0,-4.312,-3.31,1.8155098547828121,43.34407612325525,2,3,-3.316516411357462,-0.9950377801065784,1,56.853831974555725,-0.8527500060312827,2,-11.861,0
NVDA,2020-02-24,ACCION,0,-7.07,-3.171,1.7655557203843808,53.410704949154294,2,3,-3.316516411357462,-3.753231455571127,1,104.62874203160668,-23.19332960763448,3,-10.134,0
IWM,2020-02-24,ETF,1,-3.01,-3.797,1.6345226084988578,38.60453934396545,1,2,-3.316516411357462,0.30633286623368283,1,12.693370307003498,-1.4218767044568035,2,-19.566,0
XOM,2020-02-24,ACCION,0,-4.685,-3.221,1.5618878460331267,24.64173791277848,2,0,-3.316516411357462,-1.3680653222034156,1,0.0,-4.749130226524711,2,-25.727,0
SPY,2020-02-24,ETF,1,-3.317,-4.384,2.27153591562533,37.25037629986011,2,2,-3.316516411357462,0.0,1,19.698816977189594,-0.969509064716787,2,-14.946,0
USO,2020-02-24,ETF,1,-3.763,-2.226,1.309480151704923,38.98118801100004,1,1,-3.316516411357462,-0.44692518395169634,1,3.0710143232362834,-1.6974289217345555,2,-39.292,0
QQQ,2020-02-24,ETF,1,-3.856,-4.094,2.4336356569059343,40.93231094317228,2,2,-3.316516411357462,-0.5398482071405808,1,30.97162961930539,-1.1038754190775477,2,-12.566,0
XLK,2020-02-24,ETF,1,-4.133,-3.749,1.8896298992321088,40.220212889452995,2,2,-3.316516411357462,-0.8166340420516676,1,38.3598037389156,-4.600341040158433,2,-13.815,0
DIA,2020-02-24,ETF,1,-3.513,-4.311,2.0888469407792636,34.04873933079044,2,2,-3.316516411357462,-0.19697135141488742,1,14.554271646180117,-1.1280090411647854,2,-14.609,0
BAC,2020-02-24,ACCION,0,-4.744,-3.718,1.8674586027087958,35.19221813546311,1,2,-3.316516411357462,-1.427364670696396,1,26.192768313601327,-8.077542339681266,2,-32.57,0
