ticker,fecha,tipo_activo,ret_1d,zscore,vol_ratio,rsi_14,dias_consec,n_alcistas,magnitud,dias_rec,recup_5d,ret_5d,recup_10d,ret_10d,recup_20d,ret_20d,recup_60d,ret_60d,bucket_vol,bucket_rsi,bucket_streak,tipo_x_mag
NVDA,2019-04-26,ACCION,-4.719,-2.362,1.902,44.1,1,1,Moderada (-3% a -5%),171.0,0.0,2.76,0.0,-5.21,0.0,-18.5,0.0,-1.25,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2019-05-13,ACCION,-6.143,-2.772,1.459,26.5,2,0,Fuerte (-5% a -10%),65.0,0.0,-4.23,0.0,-9.54,0.0,-4.75,0.0,-2.77,Normal (0.8-1.5x),Sobrevendido (<30),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2019-08-05,ACCION,-6.452,-2.538,1.516,33.2,3,0,Fuerte (-5% a -10%),14.0,0.0,0.44,1.0,13.26,1.0,8.98,1.0,34.7,Alto (1.5-2.5x),Neutral (30-70),3-4 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2019-08-23,ACCION,-5.272,-2.012,1.3,50.0,0,2,Fuerte (-5% a -10%),13.0,0.0,3.22,1.0,11.23,1.0,7.74,1.0,30.81,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2020-01-27,ACCION,-4.104,-2.636,1.669,50.2,1,3,Moderada (-3% a -5%),9.0,0.0,0.05,1.0,9.48,1.0,9.1,1.0,19.2,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2020-01-31,ACCION,-3.816,-2.329,1.258,45.2,0,2,Moderada (-3% a -5%),4.0,1.0,6.41,1.0,22.57,1.0,16.99,1.0,23.31,Normal (0.8-1.5x),Neutral (30-70),0 — caída aislada,ACCION | Moderada (-3% a -5%)
NVDA,2020-02-21,ACCION,-4.739,-2.407,1.666,65.9,1,3,Moderada (-3% a -5%),77.0,0.0,-8.11,0.0,-9.48,0.0,-29.99,1.0,19.09,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Moderada (-3% a -5%)
NVDA,2020-02-24,ACCION,-7.07,-3.171,1.766,53.4,2,3,Fuerte (-5% a -10%),52.0,0.0,1.21,0.0,-10.13,0.0,-22.12,1.0,28.96,Alto (1.5-2.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
NVDA,2020-02-27,ACCION,-5.567,-2.315,1.594,44.3,0,3,Fuerte (-5% a -10%),1.0,1.0,8.19,0.0,-14.37,0.0,1.84,1.0,42.93,Alto (1.5-2.5x),Neutral (30-70),0 — caída aislada,ACCION | Fuerte (-5% a -10%)
NVDA,2020-03-09,ACCION,-7.743,-2.602,0.846,42.3,2,2,Fuerte (-5% a -10%),28.0,0.0,-19.98,0.0,-13.34,1.0,9.35,1.0,42.92,Normal (0.8-1.5x),Neutral (30-70),1-2 días bajando,ACCION | Fuerte (-5% a -10%)
