ticker,ret,dias,bucket,recuperado
SPY,-2.3504947971534795,6.0,Leve (-1% a -3%),True
SPY,-1.7965757446785635,47.0,Leve (-1% a -3%),True
SPY,-1.9718768991206503,39.0,Leve (-1% a -3%),True
SPY,-2.136164287280351,33.0,Leve (-1% a -3%),True
SPY,-1.0731618414580812,3.0,Leve (-1% a -3%),True
SPY,-1.773850886834849,2.0,Leve (-1% a -3%),True
SPY,-1.5230356599403971,1.0,Leve (-1% a -3%),True
SPY,-2.947905469556822,9.0,Leve (-1% a -3%),True
SPY,-1.2715102189166716,4.0,Leve (-1% a -3%),True
SPY,-1.2878394348902589,1.0,Leve (-1% a -3%),True
SPY,-1.5391224008643012,469.0,Leve (-1% a -3%),True
SPY,-1.263152232154563,464.0,Leve (-1% a -3%),True
SPY,-1.7092239446961477,430.0,Leve (-1% a -3%),True
SPY,-1.2451669732297166,5.0,Leve (-1% a -3%),True
SPY,-1.4953492137617985,420.0,Leve (-1% a -3%),True
SPY,-2.7439205765589447,416.0,Leve (-1% a -3%),True
SPY,-2.896094818930317,8.0,Leve (-1% a -3%),True
SPY,-1.5886028856555323,2.0,Leve (-1% a -3%),True
SPY,-1.6411464157774391,68.0,Leve (-1% a -3%),True
SPY,-1.087204465477376,56.0,Leve (-1% a -3%),True
SPY,-2.378296069888841,50.0,Leve (-1% a -3%),True
SPY,-2.8995710579796663,47.0,Leve (-1% a -3%),True
SPY,-2.043271192457763,9.0,Leve (-1% a -3%),True
SPY,-1.1423513475880998,8.0,Leve (-1% a -3%),True
SPY,-1.1831072713062496,1.0,Leve (-1% a -3%),True
SPY,-1.3437720781258267,287.0,Leve (-1% a -3%),True
SPY,-2.0822861272467574,269.0,Leve (-1% a -3%),True
SPY,-1.0977942246522931,10.0,Leve (-1% a -3%),True
SPY,-1.0544556127941584,5.0,Leve (-1% a -3%),True
SPY,-1.135357982592411,56.0,Leve (-1% a -3%),True
SPY,-1.1478574353853133,38.0,Leve (-1% a -3%),True
SPY,-1.7443629006757222,34.0,Leve (-1% a -3%),True
SPY,-1.6754841172793467,11.0,Leve (-1% a -3%),True
SPY,-2.0889084950364567,5.0,Leve (-1% a -3%),True
SPY,-1.546345923690029,3.0,Leve (-1% a -3%),True
SPY,-1.0315732461303462,18.0,Leve (-1% a -3%),True
SPY,-2.7894005545312406,14.0,Leve (-1% a -3%),True
SPY,-2.2788977914090847,3.0,Leve (-1% a -3%),True
SPY,-2.509614520314607,8.0,Leve (-1% a -3%),True
SPY,-1.0296767185619005,1.0,Leve (-1% a -3%),True
SPY,-2.0602131707665894,1.0,Leve (-1% a -3%),True
SPY,-1.5956933048013933,2.0,Leve (-1% a -3%),True
SPY,-1.7989345781299293,53.0,Leve (-1% a -3%),True
SPY,-1.4414717441914027,7.0,Leve (-1% a -3%),True
SPY,-2.4461561074910265,29.0,Leve (-1% a -3%),True
SPY,-1.1806198330241435,21.0,Leve (-1% a -3%),True
SPY,-1.426622429543578,15.0,Leve (-1% a -3%),True
SPY,-1.242791179366698,1.0,Leve (-1% a -3%),True
SPY,-1.141320176599292,1.0,Leve (-1% a -3%),True
SPY,-1.578822155937265,5.0,Leve (-1% a -3%),True
SPY,-1.2546905745109527,1.0,Leve (-1% a -3%),True
SPY,-1.0629352957618243,84.0,Leve (-1% a -3%),True
SPY,-1.0935032445649195,68.0,Leve (-1% a -3%),True
SPY,-1.376880186891949,56.0,Leve (-1% a -3%),True
SPY,-2.006109855138971,38.0,Leve (-1% a -3%),True
SPY,-1.068229738258586,7.0,Leve (-1% a -3%),True
SPY,-1.5328870967601937,23.0,Leve (-1% a -3%),True
SPY,-1.8449874810535727,12.0,Leve (-1% a -3%),True
SPY,-1.442945232930426,4.0,Leve (-1% a -3%),True
SPY,-1.1692601029843375,4.0,Leve (-1% a -3%),True
SPY,-1.7046739769971397,7.0,Leve (-1% a -3%),True
SPY,-1.587383410999621,3.0,Leve (-1% a -3%),True
SPY,-1.1239126751859563,16.0,Leve (-1% a -3%),True
SPY,-1.1222919794899866,3.0,Leve (-1% a -3%),True
SPY,-1.3910872349277015,112.0,Leve (-1% a -3%),True
SPY,-1.164897266592535,14.0,Leve (-1% a -3%),True
SPY,-1.385899956942216,5.0,Leve (-1% a -3%),True
SPY,-1.2048247006893997,61.0,Leve (-1% a -3%),True
SPY,-1.6528432587093578,50.0,Leve (-1% a -3%),True
SPY,-1.4691251698763619,13.0,Leve (-1% a -3%),True
SPY,-1.3386022790566443,3.0,Leve (-1% a -3%),True
SPY,-1.3325236679088803,20.0,Leve (-1% a -3%),True
SPY,-1.2288197822774571,13.0,Leve (-1% a -3%),True
SPY,-1.435219205582361,8.0,Leve (-1% a -3%),True
SPY,-1.1974614723953003,5.0,Leve (-1% a -3%),True
SPY,-1.3857394125843747,6.0,Leve (-1% a -3%),True
SPY,-1.6317324590489846,2.0,Leve (-1% a -3%),True
SPY,-1.3772988606368997,2.0,Leve (-1% a -3%),True
SPY,-1.220615079168741,35.0,Leve (-1% a -3%),True
SPY,-1.0013165291547832,29.0,Leve (-1% a -3%),True
SPY,-1.3803149534362014,27.0,Leve (-1% a -3%),True
SPY,-1.2527922838944994,18.0,Leve (-1% a -3%),True
SPY,-1.5841228140352492,3.0,Leve (-1% a -3%),True
SPY,-1.4020906922318166,64.0,Leve (-1% a -3%),True
SPY,-2.2662644692026945,23.0,Leve (-1% a -3%),True
SPY,-1.4160871465467961,14.0,Leve (-1% a -3%),True
SPY,-1.8618486486834729,12.0,Leve (-1% a -3%),True
SPY,-2.9123637608569286,4.0,Leve (-1% a -3%),True
SPY,-2.057880743185614,16.0,Leve (-1% a -3%),True
SPY,-1.6830317648955262,5.0,Leve (-1% a -3%),True
SPY,-1.9602978866671061,6.0,Leve (-1% a -3%),True
SPY,-1.2808744458971177,6.0,Leve (-1% a -3%),True
SPY,-2.980346422558666,34.0,Leve (-1% a -3%),True
SPY,-1.05262755816794,25.0,Leve (-1% a -3%),True
SPY,-1.1411792655248942,7.0,Leve (-1% a -3%),True
SPY,-1.1303942339435435,10.0,Leve (-1% a -3%),True
SPY,-1.5267324294868434,5.0,Leve (-1% a -3%),True
SPY,-1.414566110923965,17.0,Leve (-1% a -3%),True
SPY,-1.7104006136608452,123.0,Leve (-1% a -3%),True
SPY,-1.5961909523318774,78.0,Leve (-1% a -3%),True
SPY,-1.7519979496795957,74.0,Leve (-1% a -3%),True
SPY,-1.1836762907428078,69.0,Leve (-1% a -3%),True
SPY,-1.7751052138385348,67.0,Leve (-1% a -3%),True
SPY,-2.663561944415316,15.0,Leve (-1% a -3%),True
SPY,-1.333065553127566,1.0,Leve (-1% a -3%),True
SPY,-1.0808487898628982,6.0,Leve (-1% a -3%),True
SPY,-1.1938334576674592,47.0,Leve (-1% a -3%),True
SPY,-2.013832148711203,45.0,Leve (-1% a -3%),True
SPY,-1.566269392150732,1.0,Leve (-1% a -3%),True
SPY,-2.2228078391931083,8.0,Leve (-1% a -3%),True
SPY,-2.3802592345244733,1.0,Leve (-1% a -3%),True
SPY,-1.6850879747133396,13.0,Leve (-1% a -3%),True
SPY,-1.1180162300879815,11.0,Leve (-1% a -3%),True
SPY,-1.639041762130744,5.0,Leve (-1% a -3%),True
SPY,-2.7027862178845674,10.0,Leve (-1% a -3%),True
SPY,-1.0998097614260183,41.0,Leve (-1% a -3%),True
SPY,-1.1853548427536165,8.0,Leve (-1% a -3%),True
SPY,-1.0729363869237507,4.0,Leve (-1% a -3%),True
SPY,-1.6593994920437227,15.0,Leve (-1% a -3%),True
SPY,-1.5242227316648038,4.0,Leve (-1% a -3%),True
SPY,-1.0751986278262682,11.0,Leve (-1% a -3%),True
SPY,-1.1003593983400228,2.0,Leve (-1% a -3%),True
SPY,-2.035680001149731,6.0,Leve (-1% a -3%),True
SPY,-1.2489284060324235,1.0,Leve (-1% a -3%),True
SPY,-1.544885969788623,13.0,Leve (-1% a -3%),True
SPY,-1.0211366038766267,2.0,Leve (-1% a -3%),True
SPY,-1.310712873041986,34.0,Leve (-1% a -3%),True
SPY,-1.5184966271003186,27.0,Leve (-1% a -3%),True
SPY,-1.3953644515257158,21.0,Leve (-1% a -3%),True
SPY,-1.4335787930812693,17.0,Leve (-1% a -3%),True
SPY,-1.7858729983344035,11.0,Leve (-1% a -3%),True
SPY,-1.7051894157425251,4.0,Leve (-1% a -3%),True
SPY,-1.2029343756796207,11.0,Leve (-1% a -3%),True
SPY,-2.5809371248925683,inf,Leve (-1% a -3%),False
SPY,-1.5765562508027298,1.0,Leve (-1% a -3%),True
SPY,-1.2487870885051433,inf,Leve (-1% a -3%),False
QQQ,-1.4668591240770024,3.0,Leve (-1% a -3%),True
QQQ,-1.3408710811682156,2.0,Leve (-1% a -3%),True
QQQ,-1.0426643428617877,10.0,Leve (-1% a -3%),True
QQQ,-1.297529516947593,5.0,Leve (-1% a -3%),True
QQQ,-2.5926305661968074,14.0,Leve (-1% a -3%),True
QQQ,-1.1322263863234427,14.0,Leve (-1% a -3%),True
QQQ,-1.8566326286200252,8.0,Leve (-1% a -3%),True
QQQ,-2.288499310279035,27.0,Leve (-1% a -3%),True
QQQ,-1.0587421258196672,9.0,Leve (-1% a -3%),True
QQQ,-1.5600286479874659,4.0,Leve (-1% a -3%),True
QQQ,-1.572907373510013,14.0,Leve (-1% a -3%),True
QQQ,-1.6295671209424878,9.0,Leve (-1% a -3%),True
QQQ,-1.1496532570549167,1.0,Leve (-1% a -3%),True
QQQ,-1.0155740539818492,2.0,Leve (-1% a -3%),True
